"text","label"
"# # ユ リ ウ ス ・ ベ ー リ ッ ク # 1 9 9 9","O O B-PER I-PER I-PER I-PER I-PER I-PER I-PER I-PER I-PER I-PER O O O O O"
"# ル ノ ー 、 日 産 自 動 車 に 資 本 参 加 。","O B-ORG I-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O"
"ソ マ リ ラ ン ド （ 事 実 上 独 立 し た 地 域 、 他 に ソ マ リ 語 、 ア ラ ビ ア 語 ）","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O"
"R E D I R E C T # ス レ イ マ ニ エ ・ モ ス ク","O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG B-ORG I-ORG"
"# ' ' E l e c t r i c # C o u n t e r p o i n t ' ' # ( 1 9 8 7 ) # - # S t e v e # R e i c h","O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER I-PER O I-PER I-PER I-PER I-PER I-PER"
"乾 寧 元 年 （ 8 9 4 年 ） 1 1 月 に 死 去 。 『 南 漢 書 』 に よ れ ば 、 劉 知 謙 は 病 床 に 息 子 た ち を 集 め 、 「 い ま 、 五 嶺 （ 広 東 ・ 広 西 ） で は い た る と こ ろ で 盗 賊 が 決 起 し て い る 。 我 に は 精 鋭 の 兵 士 と 武 器 が あ る 。 汝 ら は 努 め て 功 を 建 て よ 。 時 機 を 逃 し て は な ら ぬ ! 」 と 言 い 残 し た と い う 。 南 漢 建 国 後 に 聖 武 皇 帝 と 追 尊 さ れ た 。 廟 号 は 代 祖 。","O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O"
": # 分 布 ： 日 本 （ 奄 美 大 島 、 石 垣 島 、 大 東 諸 島 ） 、 台 湾 。","O O O O O O O O B-LOC I-LOC I-LOC I-LOC O O O O O B-LOC I-LOC I-LOC I-LOC O O O O O"
"最 初 の 奨 学 生 は 1 6 9 9 年 に 入 学 を 許 可 さ れ 、 そ の ひ と り が ア ダ ム ・ ス ミ ス で あ っ た 。","O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER I-PER I-PER I-PER O O O O O"
"# P R O J E C T # A R M S # （ 2 0 0 1 年 - 2 0 0 2 年 ）","O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O"
"オ ホ ー ツ ク 総 合 振 興 局 の 全 域","B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC O O O"
